(307,281,409,411)
(309,266,411,404)
(318,272,406,406)
(324,279,401,411)
(325,274,406,413)
(323,276,406,419)
(323,274,400,410)
(320,280,403,409)
(319,276,402,411)
(319,278,396,405)
(318,285,393,407)
(319,275,396,406)
(314,274,389,405)
(307,274,389,415)
(301,266,389,413)
(301,270,384,414)
(305,279,388,406)
(306,279,381,396)
(301,277,376,405)
(301,280,372,400)
(301,277,377,405)
(294,272,368,401)
(297,272,366,396)
(292,274,362,397)
(289,270,364,403)
(285,272,362,401)
(277,262,357,402)
(284,261,355,398)
(280,255,355,390)
(276,258,350,397)
(276,255,357,406)
(281,253,357,389)
(279,258,354,403)
(285,263,358,401)
(284,259,361,397)
(288,272,366,393)
(293,255,374,390)
(290,258,376,406)
(301,271,381,403)
(313,253,394,393)
(319,262,398,402)
(325,275,400,405)
(335,268,403,409)
(335,268,411,419)
(333,271,413,415)
(335,284,423,419)
(345,284,422,422)
(344,285,425,416)
(344,385,429,429)
(344,288,425,431)
(346,290,437,427)
(350,294,425,429)
(344,284,423,425)
(340,381,423,440)
(344,296,419,431)
(340,377,414,432)
(335,279,415,433)
(328,284,410,427)
(332,275,409,429)
(329,280,409,423)
(322,276,402,431)
(322,474,398,423)
(319,266,401,419)
(316,262,394,411)
(318,261,396,406)
(318,264,400,402)
(310,258,393,406)
(311,249,392,402)
(309,248,387,394)
(307,244,398,405)
(302,253,383,383)
(298,238,379,400)
(297,238,376,392)
(296,246,376,392)
(293,241,376,390)
(297,249,380,392)
(297,253,381,385)
(296,254,374,394)
(296,257,370,390)
(292,259,377,380)
(292,245,367,388)
(289,242,368,385)
(281,235,372,383)
(289,236,377,376)
(292,231,374,377)
(293,232,374,372)
(284,224,380,371)
(294,227,374,375)
(292,223,375,364)
(292,220,375,366)
(284,215,375,367)
(287,214,379,366)
(281,222,372,374)
(277,218,372,368)
(280,220,368,374)
(276,222,370,364)
(275,220,380,364)
(272,207,368,363)
(275,209,375,361)
(276,209,368,361)
